Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level
10898,10,65.47093,12.1338,Zone 3: Mid (63-66°N),Lamholmen,Persistent (9-10 years)
11340,9,68.892365,17.110233,Zone 4: Northern (66-69°N),Bjørnstein,Persistent (9-10 years)
11736,10,61.0559,4.866617,Zone 2: Western (60-63°N),Fureholmen S,Persistent (9-10 years)
12794,9,63.8012,9.607983,Zone 3: Mid (63-66°N),Rundklumpen,Persistent (9-10 years)
12884,9,62.7369,7.8775,Zone 2: Western (60-63°N),Sandnesbukta,Persistent (9-10 years)
12897,9,62.863365,8.157583,Zone 2: Western (60-63°N),Honnhammarvika,Persistent (9-10 years)
12980,9,61.175716,5.0051,Zone 2: Western (60-63°N),Klubben,Persistent (9-10 years)
13035,9,60.089085,5.267967,Zone 2: Western (60-63°N),Sauaneset I,Persistent (9-10 years)
13284,9,66.11311,12.487683,Zone 4: Northern (66-69°N),Bollhaugen,Persistent (9-10 years)
18657,10,61.1567,5.133983,Zone 2: Western (60-63°N),Skredstivik,Persistent (9-10 years)
19015,10,63.333534,9.180583,Zone 3: Mid (63-66°N),Stokkvika,Persistent (9-10 years)
25055,9,61.07662,5.38595,Zone 2: Western (60-63°N),Bekksneset,Persistent (9-10 years)
25896,9,59.875767,5.638817,Zone 1: Southern (58-60°N),Skorpo,Persistent (9-10 years)
32257,9,68.8658,16.670218,Zone 4: Northern (66-69°N),Kjøtta Vest,Persistent (9-10 years)
32437,10,63.000534,8.325633,Zone 3: Mid (63-66°N),Urda,Persistent (9-10 years)
34037,11,67.73985,14.896817,Zone 4: Northern (66-69°N),Kråkåsen,Persistent (9-10 years)
34857,9,63.90485,8.589133,Zone 3: Mid (63-66°N),Salatskjæra,Persistent (9-10 years)
35417,9,67.7382,14.75345,Zone 4: Northern (66-69°N),Sandøya,Persistent (9-10 years)
